2022/04/30 02:13:39 [error] 24888#25256: *4 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /login HTTP/1.0", upstream: "http://127.0.0.1:8082/login", host: "node_app"
2022/04/30 02:13:41 [error] 24888#25256: *6 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/socket.io.js HTTP/1.1", upstream: "http://127.0.0.1:8084/socket.io/socket.io.js", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:13:41 [error] 24888#25256: *1 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /style.css HTTP/1.1", upstream: "http://127.0.0.1:8083/style.css", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:13:43 [error] 24888#25256: *6 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/socket.io.js HTTP/1.1", upstream: "http://127.0.0.1:8083/socket.io/socket.io.js", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:30:18 [error] 24888#25256: *22 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET / HTTP/1.1", upstream: "http://127.0.0.1:8081/", host: "localhost:8080"
2022/04/30 02:30:21 [error] 24888#25256: *28 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /index.htm HTTP/1.0", upstream: "http://127.0.0.1:8084/index.htm", host: "node_app"
2022/04/30 02:30:23 [error] 24888#25256: *23 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /images/prtg_logo_gray.png HTTP/1.1", upstream: "http://127.0.0.1:8082/images/prtg_logo_gray.png", host: "localhost:8080", referrer: "http://localhost:8080/index.htm"
2022/04/30 02:30:23 [error] 24888#25256: *32 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /css/prtgmini.css?prtgversion=__ HTTP/1.0", upstream: "http://127.0.0.1:8083/css/prtgmini.css?prtgversion=__", host: "node_app", referrer: "http://localhost:8080/index.htm"
2022/04/30 02:34:17 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1uzcCW HTTP/1.1", upstream: "http://127.0.0.1:8084/socket.io/?EIO=4&transport=polling&t=O1uzcCW", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:34:19 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1uzcCW HTTP/1.1", upstream: "http://127.0.0.1:8082/socket.io/?EIO=4&transport=polling&t=O1uzcCW", host: "localhost:8080", referrer: "http://localhost:8080/login"
2022/04/30 02:34:21 [error] 24888#25256: *65 connect() failed (10061: No se puede establecer una conexión ya que el equipo de destino denegó expresamente dicha conexión) while connecting to upstream, client: 127.0.0.1, server: mginx_node, request: "GET /socket.io/?EIO=4&transport=polling&t=O1uzcCW HTTP/1.1", upstream: "http://127.0.0.1:8081/socket.io/?EIO=4&transport=polling&t=O1uzcCW", host: "localhost:8080", referrer: "http://localhost:8080/login"
